Rank,Name,Platform,Year,Genre,Publisher,,,,,,,,
51959,Tilk: Aoi Umi kara Kita Shoujo,PSN,2009,Role-Playing,Sony Computer Entertainment,,,,,,,,
51960,Tilk: Aoi Umi kara Kita Shoujo,SAT,1997,Role-Playing,TGL,,,,,,,,
51961,Tilt to Live 2: Redonkulous,And,2014,Misc,One Man Left,,,,,,,,
51962,Tilt!,PS,1997,Misc,Virgin Interactive,,,,,,,,
51963,Tim Stockdale's Riding Star,PC,2008,Sports,DTP Entertainment,,,,,,,,
51964,Tim Stockdale's Riding Star,PS2,2008,Sports,DTP Entertainment,,,,,,,,
51965,Timberman,And,2014,Action,Unknown,,,,,,,,
51966,Time and Tune,XBL,2009,Misc,Microsoft,,,,,,,,
51967,Time Bokan Series: Bokan Densetsu,WS,2000,Role-Playing,Banpresto,,,,,,,,
51968,Time Bokan Series: Bokan to Ippatsu! Doronbo,PS,1996,Shooter,Banpresto,,,,,,,,
51969,Time Bokan: Yattaman,PS,2001,Shooter,Unknown,,,,,,,,
51970,Time Commando,PC,1996,Action,Activision,,,,,,,,
51971,Time Commando,SAT,1998,Action,Acclaim Entertainment,,,,,,,,
51972,Time Cruise,PCE,1992,Misc,NEC,,,,,,,,
51973,Time Flows But Does Not Return,XBL,2009,Misc,Microsoft,,,,,,,,
51974,Time Gal,SCD,1993,Adventure,Renovation,,,,,,,,
51975,"Time Gentlemen, Please!",PC,2009,Adventure,Zombie Cow Studios,,,,,,,,
51976,TiME K,XBL,,Action,Unknown,,,,,,,,
51977,Time Killers,GEN,1996,Fighting,Black Pearl,,,,,,,,
51978,Time Lord,NES,1990,Action,Milton Bradley,,,,,,,,
51979,Time Mysteries: The Final Enigma,PC,2013,Action,Big Fish Games,,,,,,,,
51980,Time of War,PC,,Shooter,Unknown,,,,,,,,
51981,Time Pilot,2600,1983,Shooter,Coleco,,,,,,,,
51982,Time Pilot,XBL,2006,Shooter,Konami,,,,,,,,
51983,Time Soldiers,MS,1988,Shooter,Sega,,,,,,,,
51984,Time Stalkers,DC,1999,Role-Playing,Sega,,,,,,,,
51985,Time To Escape,And,2014,Action,Unknown,,,,,,,,
51986,Time Twist: Rekishi no Katasumi de... (FDS),NES,1991,Adventure,Nintendo,,,,,,,,
51987,Time Warp,2600,,Shooter,Unknown,,,,,,,,
51988,Timeball,PCE,1990,Puzzle,Turbo Technologies,,,,,,,,
51989,Timelapse,PC,1996,Adventure,GTE Entertainment,,,,,,,,
51990,TimeO,PS3,,Action,Unknown,,,,,,,,
51991,TimeO,Wii,,Action,Unknown,,,,,,,,
51992,TimeO,X360,,Action,Unknown,,,,,,,,
51993,Timequest,PC,,Adventure,Unknown,,,,,,,,
51994,Times of Lore,NES,1991,Role-Playing,TOHO,,,,,,,,
51995,Times of Lore,PC,1989,Role-Playing,Origin Systems,,,,,,,,
51996,TimeSplitters 4,PS3,,Shooter,Unknown,,,,,,,,
51997,Tin Star,SNES,1994,Shooter,Nintendo,,,,,,,,
51998,Tintin: Prisoners of the Sun,SNES,1997,Adventure,Infogrames,,,,,,,,
51999,Tiny Barbarian DX,PC,2013,Misc,Unknown,,,,,,,,
52000,Tiny Brains,PC,2013,Puzzle,505 Games,,,,,,,,
52001,Tiny Brains,PS3,2014,Puzzle,505 Games,,,,,,,,
52002,Tiny Brains,PS4,2013,Puzzle,505 Games,,,,,,,,
52003,Tiny Bullets,PS,2000,Adventure,Sony Computer Entertainment,,,,,,,,
52004,Tiny Dice Dungeon,And,2014,Misc,Kongregate,,,,,,,,
52005,Tiny Dungeon: Birth for Yours,PC,2011,Misc,Unknown,,,,,,,,
52006,Tiny Games - Knights & Dragons,3DS,2014,Misc,"Reactor, Inc.",,,,,,,,
52007,Tiny Toon Adventures: ACME All-Stars,GEN,1994,Sports,Konami,,,,,,,,
52008,Tiny Toon Adventures: Buster and the Beanstalk,PC,1996,Misc,Unknown,,,,,,,,
52009,Tiny Toon Adventures: Cartoon Workshop,NES,1992,Misc,Konami,,,,,,,,
52010,Tiny Toon Adventures: Dizzy's Candy Quest,GB,2001,Action,Conspiracy Entertainment,,,,,,,,
52011,Tiny Toon Adventures: Scary Dreams,GBA,2006,Action,Conspiracy Entertainment,,,,,,,,
52012,Tiny Toon Adventures: Wacky Sports,GB,1994,Sports,Konami,,,,,,,,
52013,Tiny Toon Adventures: Wacky Sports Challenge,SNES,1994,Sports,Konami,,,,,,,,
52014,Tiny Toons: Defenders of the Universe,PS2,,Action,Unknown,,,,,,,,
52015,Tiny Touchdown,And,2014,Misc,Fat Fish Games,,,,,,,,
52016,Tiny Troopers Joint Ops,PS3,2014,Action,Unknown,,,,,,,,
52017,Tiny Troopers Joint Ops,PS4,2014,Action,Unknown,,,,,,,,
52018,Tiny Troopers Joint Ops,PSV,2014,Action,Unknown,,,,,,,,
52019,Tip Off,GB,1993,Sports,Imagineer,,,,,,,,
52020,TiQal,XBL,2008,Puzzle,Microsoft,,,,,,,,
52021,Titan,NES,1990,Action,Sofel,,,,,,,,
52022,Titan,PCE,1991,Misc,Naxat Soft,,,,,,,,
52023,Titan Souls,PS4,2015,Action,Devolver Digital,,,,,,,,
52024,Titan Souls,PSV,2015,Action,Devolver Digital,,,,,,,,
52025,Titanic Mystery,PC,2010,Puzzle,PlayV,,,,,,,,
52026,Titanic: Hidden Expedition,3DS,2014,Misc,Sigma Ent. Inc.,,,,,,,,
52027,Title Match Pro Wrestling,2600,1987,Fighting,Absolute Entertainment,,,,,,,,
52028,Title Match Pro Wrestling,7800,1989,Fighting,Absolute Entertainment,,,,,,,,
52029,T-KARA,XBL,2009,Puzzle,Microsoft,,,,,,,,
52030,TMNT,GBA,2007,Action,Ubisoft,,,,,,,,
52031,TMNT,GC,2007,Action,Ubisoft,,,,,,,,
52032,TMNT,PC,2007,Action,Ubisoft,,,,,,,,
52033,TMNT,PS2,2007,Action,Ubisoft,,,,,,,,
52034,TMNT,PSN,2009,Action,Ubisoft,,,,,,,,
52035,TMNT,XBL,2010,Action,Ubisoft,,,,,,,,
52036,TMNT: Mutant Melee,PC,2005,Fighting,Konami,,,,,,,,
52037,TNA iMPACT: Cross the Line,PSN,2010,Fighting,SouthPeak Interactive,,,,,,,,
52038,TNN Bass Tournament of Champions,GEN,1993,Sports,American Softworks,,,,,,,,
52039,TNN Bass Tournament of Champions,SNES,1994,Sports,ASC Games,,,,,,,,
52040,TNN Motor Sports Hardcore 4x4,PSN,2010,Racing,Sony Computer Entertainment,,,,,,,,
52041,TNN Motor Sports Hardcore 4x4,SAT,1996,Racing,ASC Games,,,,,,,,
52042,TNN Motor Sports Hardcore TR,PS,1999,Racing,ASC Games,,,,,,,,
52043,TNN Motorsports HardCore Heat,DC,1999,Racing,ASC Games,,,,,,,,
52044,TNN Outdoors Bass Tournament '96,GEN,1996,Sports,ASC Games,,,,,,,,
52045,TNN Outdoors Fishing Champ,GB,1999,Sports,ASC Games,,,,,,,,
52046,TNN Outdoors Pro Hunter,PC,1998,Sports,ASC Games,,,,,,,,
52047,TNN Outdoors Pro Hunter 2,PC,1999,Sports,ASC Games,,,,,,,,
52048,TNT Racers,PSN,2011,Racing,DTP Entertainment,,,,,,,,
52049,TNT Racers,WW,,Racing,Unknown,,,,,,,,
52050,TNT Racers,XBL,2011,Racing,DTP Entertainment,,,,,,,,
52051,TNT Racers (PSP),PSN,2011,Racing,DTP Entertainment,,,,,,,,
52052,To End All Wars,PS3,,Shooter,Unknown,,,,,,,,
52053,To End All Wars,X360,,Shooter,Unknown,,,,,,,,
52054,To Heart,PC,1997,Adventure,Leaf,,,,,,,,
52055,To Heart,PSP,2011,Misc,Aqua Plus,,,,,,,,
52056,To Heart 2,PC,2005,Adventure,Aquaplus,,,,,,,,
52057,To Heart 2,PS2,2004,Adventure,Aquaplus,,,,,,,,
52058,To Heart 2,PS3,2011,Misc,Aqua Plus,,,,,,,,
52059,To Heart 2,PSP,2009,Misc,Aqua Plus,,,,,,,,
52060,To Heart 2 Portable,PC,2012,Misc,honeybee,,,,,,,,
52061,To Heart 2: Another Days,PC,2008,Adventure,Leaf,,,,,,,,
52062,To Heart Portable,PC,,Misc,Unknown,,,,,,,,
52063,To The Earth,NES,1989,Shooter,Nintendo,,,,,,,,
52064,Toad Man's Bizarre Quest,XBL,2010,Adventure,Microsoft,,,,,,,,
52065,Toaru Kanojo no Netorare Kiroku,PC,2011,Misc,Unknown,,,,,,,,
52066,Toast Time,And,2014,Misc,Force Of Habit,,,,,,,,
52067,Tobidase Daisakusen (FDS),NES,1987,Shooter,Square,,,,,,,,
52068,Tobidase! Trouble Hanafuda Douchuuki,PSP,2007,Misc,Kadokawa Shoten,,,,,,,,
52069,Tobuscus Adventures,And,2014,Misc,Capcom?Production?Studio?1,,,,,,,,
52070,Tobuscus Adventures,PC,2014,Misc,Capcom?Production?Studio?1,,,,,,,,
52071,TOCA Championship Racing,PC,1998,Misc,Codemasters,,,,,,,,
52072,ToCA Race Driver,PS2,,Racing,Unknown,,,,,,,,
52073,TOCA Touring Car Championship,GB,2000,Racing,THQ,,,,,,,,
52074,TOCA World Touring Cars,GBA,2003,Racing,Ubisoft,,,,,,,,
52075,Todd McFarlane's Spawn: The Video Game,SNES,1995,Action,Acclaim Entertainment,,,,,,,,
52076,Todd's Adventures in Slime World,GEN,1991,Action,Renovation,,,,,,,,
52077,Todd's Adventures in Slime World,Lynx,1992,Action,Atari,,,,,,,,
52078,TOEIC Test Eitango Speed Master DS,DS,2009,Misc,Creative Core,,,,,,,,
52079,TOEIC Test Kousiki DS Training,DS,2009,Misc,IE Institute,,,,,,,,
52080,Toeic Test Portable,PSP,2012,Misc,Media5,,,,,,,,
52081,TOEIC Test Super Coach @DS,DS,2010,Misc,Kirihara Shoten,,,,,,,,
52082,Toeic Test: Chousoku Training,3DS,2012,Misc,IE Institute,,,,,,,,
52083,Toeic Test: Jissen Tokkun,PSV,2012,Misc,Media5,,,,,,,,
52084,ToeJam & Earl,GEN,1992,Action,Sega,,,,,,,,
52085,ToeJam & Earl,PC,1992,Action,Sega,,,,,,,,
52086,ToeJam & Earl,VC,2006,Action,Sega,,,,,,,,
52087,ToeJam & Earl,XBL,,Action,Unknown,,,,,,,,
52088,ToeJam & Earl (Genesis),PC,2011,Action,Sega,,,,,,,,
52089,Togainu no Chi: True Blood Portable,PSP,2010,Adventure,Kadokawa Shoten,,,,,,,,
52090,Toilet Kids,PCE,1992,Shooter,Media Rings,,,,,,,,
52091,Toilet no Jo-Kamisama,PC,2000,Adventure,Authering Heaven,,,,,,,,
52092,Toki o Kanaderu Waltz,PC,2011,Misc,Unknown,,,,,,,,
52093,Toki o Koeta Tegami,3DO,1994,Adventure,Unknown,,,,,,,,
52094,Toki Tori,GB,2001,Puzzle,Capcom,,,,,,,,
52095,Toki Tori,WW,2008,Puzzle,Two Tribes,,,,,,,,
52096,Toki Tori 2,PC,2014,Misc,Two Tribes,,,,,,,,
52097,Toki Tori 2,WiiU,2013,Misc,Two Tribes,,,,,,,,
52098,Tokimeki Card Paradise: Koi no Royal Straight Flush,PCFX,1996,Misc,Sonnet,,,,,,,,
52099,Tokimeki Check-in!,PC,2001,Adventure,Peach Princess,,,,,,,,
52100,Tokimeki Mahjong Paradise Special,3DO,1996,Misc,Sonnet,,,,,,,,
52101,Tokimeki Memorial,PCE,1994,Simulation,Konami,,,,,,,,
52102,Tokimeki Memorial 2 Substories: Dancing Summer Vacation,PS,2000,Adventure,Konami,,,,,,,,
52103,Tokimeki Memorial 2 Substories: Leaping School Festival,PS,2001,Adventure,Konami,,,,,,,,
52104,Tokimeki Memorial 2 Substories: Memories Ringing On,PS,2001,Adventure,Konami,,,,,,,,
52105,Tokimeki Memorial 2: Music Video Clips: Circus de Ai Imashou,PS2,2002,Misc,Konami,,,,,,,,
52106,Tokimeki Memorial 2: Taisen Pazurudama,PS,2001,Puzzle,Konami,,,,,,,,
52107,Tokimeki Memorial 3: Yakusoku no Ano Basho de,PS2,2001,Adventure,Konami,,,,,,,,
52108,Tokimeki Memorial Drama Series Vol.1: Nijiiro no Seishun,PS,1997,Adventure,Konami,,,,,,,,
52109,Tokimeki Memorial Drama Series Vol.1: Nijiiro no Seishun,SAT,1997,Adventure,Konami,,,,,,,,
52110,Tokimeki Memorial Drama Series Vol.2: Irodori no Love Song,PS,1998,Adventure,Konami,,,,,,,,
52111,Tokimeki Memorial Drama Series Vol.2: Irodori no Love Song,SAT,1998,Adventure,Konami,,,,,,,,
52112,Tokimeki Memorial Drama Series Vol.3: Tabidachi no Uta,PS,1999,Adventure,Konami,,,,,,,,
52113,Tokimeki Memorial Drama Series Vol.3: Tabidachi no Uta,SAT,1999,Adventure,Konami,,,,,,,,
52114,Tokimeki Memorial Pocket,GB,1999,Simulation,Konami,,,,,,,,
52115,Tokimeki Memorial Selection: Fujisaki Shiori,PS,1997,Simulation,Konami,,,,,,,,
52116,Tokimeki Memorial Selection: Fujisaki Shiori,SAT,1997,Simulation,Konami,,,,,,,,
52117,Tokimeki Memorial: Densetsu no Ki no Shita de,SNES,1996,Adventure,Konami,,,,,,,,
52118,Tokimeki Memorial: Forever with You,PC,1997,Simulation,Konami,,,,,,,,
52119,Tokimeki Memorial: Forever with You,PSN,2009,Simulation,Konami,,,,,,,,
52120,Tokimeki Memorial: Girl's Side 1st Love Typing,PC,2004,Adventure,Konami,,,,,,,,
52121,Tokimeki Memorial: Girl's Side 2nd Kiss Typing,PC,2007,Adventure,Konami,,,,,,,,
52122,Tokimeki Memorial: Taisen Pazurudama,PC,1996,Puzzle,Konami,,,,,,,,
52123,Tokimeki Memorial: Taisen Tokkaedama,PS,1997,Puzzle,Konami,,,,,,,,
52124,Tokimeki Memorial: Taisen Tokkaedama,SAT,1997,Puzzle,Konami,,,,,,,,
52125,Tokoro's Mahjong,SNES,1994,Misc,Victory Lap Games,,,,,,,,
52126,Tokoro's Mahjong Jr.,GB,1994,Misc,Victory Lap Games,,,,,,,,
52127,Tokoro-San no Setagaya Country Club,GB,2000,Sports,Natsume,,,,,,,,
52128,Tokusatsu Bouken Katsugeki Super Hero Retsuden,DC,2000,Adventure,Banpresto,,,,,,,,
52129,Tokutenryoku Gakushuu DS: Chuu-1 Eigo,DS,2008,Misc,Benesse,,,,,,,,
52130,Tokutenryoku Gakushuu DS: Chuu-2 Eigo,DS,2008,Misc,Benesse,,,,,,,,
52131,Tokutenryoku Gakushuu DS: Chuu-3 Eigo,DS,2008,Misc,Benesse,,,,,,,,
52132,Tokyo Disneyland: Fantasy Tour,GB,1998,Action,Tomy Corporation,,,,,,,,
52133,Tokyo Disneyland: Mickey no Cinderella Shiro Mystery Tour,GB,1995,Adventure,Tomy Corporation,,,,,,,,
52134,Tokyo Friend Pack II Ketteiban: Minna de Chousen! Taikan Attraction,Wii,2009,Action,Spike,,,,,,,,
52135,Tokyo Majin Gakuen: Fuju Houroku,GBA,2004,Adventure,Marvelous Interactive,,,,,,,,
52136,Tokyo Majin Gakuen: Fuju Houroku,WS,2000,Role-Playing,Asmik Ace Entertainment,,,,,,,,
52137,Tokyo Majin Gakuen: Gehoujou,PS,2002,Adventure,Asmik Ace Entertainment,,,,,,,,
52138,Tokyo Majin Gakuen: Kaihoujyou Kefurokou,PS2,2004,Adventure,Marvelous Interactive,,,,,,,,
52139,Tokyo Majin Gakuen: Ken Kaze Tobari,PS,1998,Adventure,Asmik Ace Entertainment,,,,,,,,
52140,Tokyo Majin Gakuen: Kenpuu Chou Emaki,PS,2000,Adventure,Asmik Ace Entertainment,,,,,,,,
52141,Tokyo Majin Gakuen: Oboro-Kitan,PS,1999,Adventure,Asmik Ace Entertainment,,,,,,,,
52142,Tokyo Majin Gakuen: Teisenjou,DS,,Racing,Unknown,,,,,,,,
52143,Tokyo Mono Harashi: Karasu no Mori Gakuen Kitan,PSP,,Adventure,Unknown,,,,,,,,
52144,Tokyo Odaiba Casino,DS,2008,Misc,Success,,,,,,,,
52145,Tokyo Twilight Busters: Kindan no Ikenie Teito Jigokuhen,DS,2010,Action,Starfish,,,,,,,,
52146,Tokyo Xanadu eX+,PSV,2017,Role-Playing,Aksys Games,,,,,,,,
52147,Tokyo Xtreme Racer 2,DC,2000,Racing,Crave Entertainment,,,,,,,,
52148,Tokyo Xtreme Racer DRIFT 2,PS2,2007,Racing,Crave Entertainment,,,,,,,,
52149,Tom & Jerry: The Magic Ring,GBA,2002,Action,NewKidCo,,,,,,,,
52150,Tom and Jerry in Fists of Furry,PC,2002,Fighting,NewKidCo,,,,,,,,
52151,Tom and Jerry in Mouse Attacks!,GB,2000,Action,NewKidCo,,,,,,,,
52152,Tom and Jerry: Frantic Antics!,GEN,1994,Action,Sega,,,,,,,,
52153,Tom and Jerry: Mouse Hunt,GB,2001,Action,Conspiracy Entertainment,,,,,,,,
52154,Tom Clancy's Ghost Recon,PC,2001,Shooter,Ubisoft,,,,,,,,
52155,Tom Clancy's Ghost Recon Advanced Warfighter,XBL,2009,Shooter,Ubisoft,,,,,,,,
52156,Tom Clancy's Ghost Recon Advanced Warfighter 2,PSN,2009,Shooter,Ubisoft,,,,,,,,
52157,Tom Clancy's Ghost Recon: Desert Siege,PC,2002,Shooter,Ubisoft,,,,,,,,
52158,Tom Clancy's Ghost Recon: Future Soldier,DS,2012,Shooter,Ubisoft,,,,,,,,
52159,Tom Clancy's Ghost Recon: Future Soldier,PSP,2012,Shooter,Ubisoft,,,,,,,,
52160,Tom Clancy's Ghost Recon: Island Thunder,PC,2002,Shooter,Ubisoft,,,,,,,,
52161,Tom Clancy's Ghost Recon: Jungle Storm,NGage,2004,Shooter,Gameloft,,,,,,,,
52162,Tom Clancy's Ghost Recon: Predator,PSN,2010,Shooter,Ubisoft,,,,,,,,
52163,Tom Clancy's HAWX,Wii,,Action,Unknown,,,,,,,,
52164,Tom Clancy's HAWX,XBL,2010,Action,Ubisoft,,,,,,,,
52165,Tom Clancy's Politika,PC,1997,Misc,Red Storm Entertainment,,,,,,,,
52166,Tom Clancy's Rainbow 6: Patriots,PC,2014,Shooter,Ubisoft,,,,,,,,
52167,Tom Clancy's Rainbow 6: Patriots,PS3,,Shooter,Ubisoft,,,,,,,,
52168,Tom Clancy's Rainbow 6: Patriots,X360,,Shooter,Ubisoft,,,,,,,,
52169,Tom Clancy's Rainbow Six,DC,2000,Shooter,Majesco,,,,,,,,
52170,Tom Clancy's Rainbow Six,GB,2000,Shooter,Red Storm Entertainment,,,,,,,,
52171,Tom Clancy's Rainbow Six,OSX,1999,Misc,Red Storm Entertainment,,,,,,,,
52172,Tom Clancy's Rainbow Six,PC,1998,Shooter,Red Storm Entertainment,,,,,,,,
52173,Tom Clancy's Rainbow Six,PSN,2009,Shooter,Sony Computer Entertainment,,,,,,,,
52174,Tom Clancy's Rainbow Six / Rainbow Six: Rogue Spear,PS,2002,Shooter,Ubisoft,,,,,,,,
52175,Tom Clancy's Rainbow Six 3: Athena Sword,PC,2004,Shooter,Ubisoft,,,,,,,,
52176,Tom Clancy's Rainbow Six 3: Gold Edition,PC,2004,Shooter,Ubisoft,,,,,,,,
52177,Tom Clancy's Rainbow Six 3: Raven Shield,PC,2003,Shooter,Ubisoft,,,,,,,,
52178,Tom Clancy's Rainbow Six Vegas,XBL,2009,Shooter,Ubisoft,,,,,,,,
52179,Tom Clancy's Rainbow Six Vegas 2 / Ghost Recon Advanced Warfighter 2 Double Pack,PS3,2012,Misc,Ubisoft,,,,,,,,
52180,Tom Clancy's Rainbow Six Vegas 2 / Ghost Recon Advanced Warfighter 2 Double Pack,X360,2012,Misc,Ubisoft,,,,,,,,
52181,Tom Clancy's Rainbow Six Vegas 2 / Ghost Recon AW,PC,2012,Misc,Ubisoft,,,,,,,,
52182,Tom Clancy's Rainbow Six Vegas 2 / Ghost Recon AW,WiiU,2020,Misc,Ubisoft,,,,,,,,
52183,Tom Clancy's Rainbow Six: Covert Ops: Essentials,PC,1998,Shooter,Red Storm Entertainment,,,,,,,,
52184,Tom Clancy's Rainbow Six: Lone Wolf,PS,2002,Shooter,Ubisoft,,,,,,,,
52185,Tom Clancy's Rainbow Six: Mission Pack: Eagle Watch,PC,1999,Shooter,Red Storm Entertainment,,,,,,,,
52186,Tom Clancy's Rainbow Six: Patriots,PC,2014,Shooter,Ubisoft,,,,,,,,
52187,Tom Clancy's Rainbow Six: Rogue Spear,DC,2000,Shooter,Red Storm Entertainment,,,,,,,,
52188,Tom Clancy's Rainbow Six: Rogue Spear,PC,1999,Shooter,Red Storm Entertainment,,,,,,,,
52189,Tom Clancy's Rainbow Six: Rogue Spear Mission Pack: Urban Operations,PC,2000,Shooter,Red Storm Entertainment,,,,,,,,
52190,Tom Clancy's Rainbow Six: Rogue Spear: Black Thorn,PC,2001,Shooter,Ubisoft,,,,,,,,
52191,Tom Clancy's Rainbow Six: Vegas,PSN,2009,Shooter,Ubisoft,,,,,,,,
52192,Tom Clancy's Rainbow Six: Vegas 2,PSN,2011,Shooter,Ubisoft,,,,,,,,
52193,Tom Clancy's Rainbow Six: Vegas 2,XBL,2009,Shooter,Ubisoft,,,,,,,,
52194,Tom Clancy's Splinter Cell Chaos Theory HD,PSN,2011,Action,Ubisoft,,,,,,,,
52195,Tom Clancy's Splinter Cell Double Agent / Rainbow Six Vegas Double Pack,PS3,2012,Misc,Ubisoft,,,,,,,,
52196,Tom Clancy's Splinter Cell Double Agent / Rainbow Six Vegas Double Pack,X360,2012,Misc,Ubisoft,,,,,,,,
52197,Tom Clancy's Splinter Cell Essentials,PSN,2009,Shooter,Ubisoft,,,,,,,,
52198,Tom Clancy's Splinter Cell HD,PSN,2011,Action,Ubisoft,,,,,,,,
52199,Tom Clancy's Splinter Cell Trilogy,PC,2006,Action,Ubisoft,,,,,,,,
52200,Tom Clancy's Splinter Cell Trilogy,PS2,2009,Action,Ubisoft,,,,,,,,
52201,Tom Clancy's Splinter Cell Trilogy,XBL,,Action,Unknown,,,,,,,,
52202,Tom Clancy's Splinter Cell: Chaos Theory,NGage,2005,Action,Gameloft,,,,,,,,
52203,Tom Clancy's Splinter Cell: Chaos Theory,XBL,2008,Action,Ubisoft,,,,,,,,
52204,Tom Clancy's Splinter Cell: Conviction,DS,,Action,Unknown,,,,,,,,
52205,Tom Clancy's Splinter Cell: Conviction - Insurgency Pack,PC,2010,Action,Ubisoft,,,,,,,,
52206,Tom Clancy's Splinter Cell: Conviction - Insurgency Pack,XBL,2010,Action,Ubisoft,,,,,,,,
52207,Tom Clancy's Splinter Cell: Double Agent,PS2,2006,Action,Ubisoft,,,,,,,,
52208,Tom Clancy's Splinter Cell: Double Agent,XB,2006,Action,Ubisoft,,,,,,,,
52209,Tom Clancy's Splinter Cell: Pandora Tomorrow HD,PSN,2011,Action,Ubisoft,,,,,,,,
52210,Tom Clancy's Splinter Cell: Team Stealth Action,NGage,2003,Action,Gameloft,,,,,,,,
52211,Tomarc The Barbarian,2600,1983,Action,Xonox,,,,,,,,
52212,Tomato Adventure,GBA,2002,Adventure,Nintendo,,,,,,,,
52213,Tomato Blaster,XBL,2009,Action,Microsoft,,,,,,,,
52214,Tomb Raider,NGage,2003,Action,Eidos Interactive,,,,,,,,
52215,Tomb Raider,PSN,2009,Action,Sony Computer Entertainment,,,,,,,,
52216,Tomb Raider,SAT,1996,Adventure,Eidos Interactive,,,,,,,,
52217,Tomb Raider Chronicles,DC,2000,Action,Eidos Interactive,,,,,,,,
52218,Tomb Raider Chronicles,PC,2000,Action,Eidos Interactive,,,,,,,,
52219,Tomb Raider Chronicles,PSN,2011,Action,Eidos Interactive,,,,,,,,
52220,Tomb Raider Gold,PC,1998,Action,Eidos Interactive,,,,,,,,
52221,Tomb Raider II,PSN,2009,Action,Sony Computer Entertainment,,,,,,,,
52222,Tomb Raider III,PSN,2009,Action,Sony Computer Entertainment,,,,,,,,
52223,Tomb Raider Underworld: Beneath the Ashes,XBL,2009,Action,Eidos Interactive,,,,,,,,
52224,Tomb Raider Underworld: Lara's Shadow,XBL,2009,Action,Eidos Interactive,,,,,,,,
52225,Tomb Raider: Anniversary,PSN,2009,Action,Eidos Interactive,,,,,,,,
52226,Tomb Raider: Anniversary,XBL,2010,Action,Eidos Interactive,,,,,,,,
52227,Tomb Raider: Legend,GBA,2006,Action,Eidos Interactive,,,,,,,,
52228,Tomb Raider: Legend,PSN,2009,Adventure,Eidos Interactive,,,,,,,,
52229,Tomb Raider: Legend,XBL,2010,Action,Eidos Interactive,,,,,,,,
52230,Tomb Raider: The Last Revelation,DC,2001,Action,Eidos Interactive,,,,,,,,
52231,Tomb Raider: The Last Revelation,PSN,2009,Adventure,Sony Computer Entertainment,,,,,,,,
52232,Tomb Raider: Underworld,PSN,2010,Action,Square Enix,,,,,,,,
52233,Tombs & Treasure,NES,1991,Role-Playing,Infocom,,,,,,,,
52234,Tombs & Treasure,PC,,Adventure,Unknown,,,,,,,,
52235,Tombstone 1882,PC,2003,Action,Summitsoft Entertainment,,,,,,,,
52236,Tomcat Alley,PC,1995,Adventure,Sega,,,,,,,,
52237,Tomcat Alley,SCD,1994,Adventure,Sega,,,,,,,,
52238,Tomcat F-14 Flight Simulator,7800,1989,Action,Absolute Entertainment,,,,,,,,
52239,Tomcat: The F-14 Fighter Simulator,2600,1988,Simulation,Absolute Entertainment,,,,,,,,
52240,Tomena Sanner,WW,2010,Action,Konami,,,,,,,,
52241,Tommy Lasorda Baseball,GEN,1989,Sports,Sega,,,,,,,,
52242,Tomoyo After: It's a Wonderful Life,PC,2005,Adventure,Key,,,,,,,,
52243,Tomoyo After: It's a Wonderful Life CS Edition,X360,2010,Adventure,Prototype,,,,,,,,
52244,Tomy Car Driver,WW,2009,Action,Takara Tomy,,,,,,,,
52245,Tonari no Princess Rolfee,PCFX,1997,Action,NEC,,,,,,,,
52246,Tonfuso,WS,2001,Misc,Bandai,,,,,,,,
52247,Tonka Raceway,GB,1999,Racing,Hasbro Interactive,,,,,,,,
52248,Tonka Raceway,PC,1999,Racing,Hasbro Interactive,,,,,,,,
52249,Tonka: On The Job,GBA,2006,Action,THQ,,,,,,,,
52250,Tony Hawk's Downhill Jam,GBA,2006,Sports,Activision,,,,,,,,
52251,Tony Hawk's Downhill Jam,PS2,2007,Sports,Activision,,,,,,,,
52252,Tony Hawk's Pro Skater,DC,2000,Sports,Crave Entertainment,,,,,,,,
52253,Tony Hawk's Pro Skater,NGage,2003,Sports,Nokia,,,,,,,,
52254,Tony Hawk's Pro Skater,NGage,2003,Sports,Nokia,,,,,,,,
52255,Tony Hawk's Pro Skater 2,DC,2000,Sports,Activision,,,,,,,,
52256,Tony Hawk's Pro Skater 2,GB,2000,Sports,Activision,,,,,,,,
52257,Tony Hawk's Pro Skater 3,GB,2001,Sports,Activision,,,,,,,,
52258,Tony Hawk's Pro Skater 3,PC,2002,Sports,Activision,,,,,,,,
52259,Tony Hawk's Pro Skater 4,PC,2003,Sports,Aspyr,,,,,,,,
52260,Tony Hawk's Pro Skater 4,PS,2002,Sports,Activision,,,,,,,,
52261,Tony Hawk's Project 8,XB,2006,Sports,Activision,,,,,,,,
52262,Tony Hawk's Shred Session,And,2014,Misc,Activision,,,,,,,,
52263,Tony La Russa Baseball,GEN,1993,Sports,Electronic Arts,,,,,,,,
52264,Tony Meola's Sidekicks Soccer,SNES,1993,Sports,Electro Brain,,,,,,,,
52265,Tonzurakko,PSN,2010,Racing,Sony Computer Entertainment,,,,,,,,
52266,Too Human,XBL,2010,Role-Playing,Microsoft Game Studios,,,,,,,,
52267,Toobin',GB,2000,Action,Midway Games,,,,,,,,
52268,Toobin',NES,1989,Action,Tengen,,,,,,,,
52269,Toobin',PC,1992,Action,Domark Software,,,,,,,,
52270,Toon Fighter Z: BeatEm With Fun!,DS,,Fighting,Unknown,,,,,,,,
